시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
금천구,서울특별시,인크커피 가산점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=493e2b4e-ed28-4c76-9959-08657153878a,음식,음식점,카페/전통찻집,1197
금천구,서울특별시,독산동우시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0fb3e61c-2b22-4923-81a9-b8ac2affd826,쇼핑,쇼핑,상설시장,893
금천구,서울특별시,에프마켓남부낚시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3da28e96-024e-4100-ba39-c0baa6c9da53,쇼핑,쇼핑,전문매장/상가,400
금천구,서울특별시,금천 체육공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=46a67a0c-9058-4c55-9e4f-7334f9c55052,인문(문화/예술/역사),휴양관광지,공원,329
금천구,서울특별시,마리오아울렛,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=073f9186-40da-4b9e-9561-46a4f65b7b3f,쇼핑,쇼핑,전문매장/상가,285
금천구,서울특별시,독산 근린공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f05eef1e-aa05-4ee3-9dfe-5b28454219b2,인문(문화/예술/역사),휴양관광지,공원,277
금천구,서울특별시,아이유푸드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6b21b185-e0fd-4d56-80db-7561e4f8efca,쇼핑,쇼핑,전문매장/상가,238
금천구,서울특별시,딥에프25,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fb639236-f6f2-4b5d-9589-9a4aebfc19b4,음식,음식점,한식,235
금천구,서울특별시,비단길 현대시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=53fc5e0d-38c6-4a4a-aaec-1890dd34dcf3,쇼핑,쇼핑,상설시장,214
금천구,서울특별시,금천문화원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=92ea42ba-db02-4894-9198-b694c13d83e0,인문(문화/예술/역사),문화시설,문화원,209
금천구,서울특별시,호암산성,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3be56c80-080c-4a0d-be16-3f524948fc3e,인문(문화/예술/역사),역사관광지,유적지/사적지,193
금천구,서울특별시,금천 폭포공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c9491991-9a6b-426a-8420-9f87f21a52ee,인문(문화/예술/역사),휴양관광지,공원,191
금천구,서울특별시,금빛공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e6e3a9c5-8dd0-42fd-88e6-58d1fa23c41e,인문(문화/예술/역사),휴양관광지,공원,185
금천구,서울특별시,별빛 남문시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6f87b98f-df48-468a-82b1-104ae8a0266b,쇼핑,쇼핑,상설시장,183
금천구,서울특별시,금천예술공장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d8b38d76-d652-4c79-9081-4aed62b00b82,인문(문화/예술/역사),산업관광지,기타,167
금천구,서울특별시,금천구립금나래도서관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1d7bc18c-d174-4467-b306-29a8faf2d374,인문(문화/예술/역사),문화시설,도서관,161
금천구,서울특별시,산기슭 공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d95a5bf7-7860-48fe-b8fe-db4c337f7ca7,자연,자연관광지,자연생태관광지,153
